Year,Round,Region Number,Region Name,Seed,Score,Team,Team,Score,Seed,PointDifferential,Favwin,Bench,TeamOISeed,TeamOIScore,Pace,FGATTDiff,2PTFGMDDiff,2PTFGATTDiff,3PTMDiff,3PTFGATTDIff,FTADiff,FTMDiff,OffRebDiff,DefRebDiff,OffReb%,OppOffReb%,OffReb%Diff,DefReb%Diff,TotalRB%Diff,AssistsDiff,BlockDiff,TurnoversDiff,FoulsCommittedDiff,StealsDiff,Trend,Before/After Rule Change
2014,1,4,Midwest,3,71,Duke,Mercer,78,14,-7,0,0,3,71,64.7,7,-13,-7,10,24,-15,-11,13,-5,,,,,,-1,1,4,7,3,2,1
2014,1,4,Midwest,4,71,Louisville,Manhattan,64,13,7,1,0,4,71,69.3,4,-4,-4,1,8,14,12,9,2,,,,,,-1,3,-3,-9,3,2,1
2014,1,4,Midwest,5,83,St Louis,NC State,80,12,3,1,0,5,83,70.6,4,-2,-3,5,9,-11,-8,-1,-1,,,,,,6,-1,-3,6,0,2,1
2014,1,4,Midwest,6,67,Massachusetts,Tennessee,86,11,-19,0,0,6,67,74.5,10,-3,13,1,-3,-20,-16,4,-8,,,,,,-4,-2,1,8,0,2,1
2014,1,4,Midwest,7,87,Texas,Arizona St,85,10,2,1,0,7,87,71.8,2,7,5,-3,-3,-6,-3,-1,-1,,,,,,0,4,-1,6,4,2,1
2015,1,1,Midwest,3,69,Notre Dame,Northeastern,65,14,4,1,0,3,69,62.2,-8,1,-3,-1,-5,8,5,-11,-5,,,,,,4,4,-9,1,7,3,1
2015,1,1,Midwest,4,65,Maryland,Valparaiso,62,13,3,1,0,4,65,62,-16,2,-10,-3,-6,6,8,-7,10,,,,,,-3,4,2,0,0,3,1
2015,1,1,Midwest,5,68,West Virginia,Buffalo,62,12,6,1,1,5,68,64.9,5,3,5,-1,-1,2,3,1,0,,,,,,-1,-2,-5,1,3,3,1
2015,1,1,Midwest,6,56,Butler,Texas,48,11,8,1,0,6,56,62.5,-2,1,4,-2,-6,16,12,-7,-6,,,,,,4,-1,-10,-9,1,3,1
2015,1,1,Midwest,7,81,Wichita St,Indiana,76,10,5,1,0,7,81,71.3,2,10,11,-9,-9,14,12,3,-1,,,,,,-1,3,-6,-9,6,3,1
2015,1,2,West,3,56,Baylor,Georgia St,57,14,-1,0,0,3,56,58.7,-11,-5,-14,2,3,0,3,3,15,,,,,,2,-1,15,0,-11,3,1
2015,1,2,West,4,67,North Carolina,Harvard,65,13,2,1,0,4,67,61.3,-6,6,0,0,-6,-7,-10,0,9,,,,,,5,0,10,2,-7,3,1
2015,1,2,West,5,56,Arkansas,Wofford,53,12,3,1,0,5,56,58.1,-9,8,7,-4,-16,0,-1,-6,4,,,,,,6,2,2,1,-1,3,1
2015,1,2,West,6,76,Xavier,Ole Miss,57,11,19,1,1,6,76,67.7,-17,-2,-13,4,-4,16,11,-6,11,,,,,,1,0,2,-7,-1,3,1
2015,1,2,West,7,72,VCU,Ohio St,75,10,-3,0,1,7,72,63.3,6,-8,-5,4,11,-3,1,5,0,,,,,,-2,-5,0,0,-1,3,1
2015,1,3,East,3,69,Oklahoma,Albany,60,14,9,1,0,3,69,61.2,-4,3,-3,-1,-1,6,6,0,6,,,,,,-5,5,2,2,-1,3,1
2015,1,3,East,4,57,Louisville,Cal Irvine,55,13,2,1,0,4,57,57.9,3,-1,2,0,1,4,4,0,-4,,,,,,-1,0,-5,1,-1,3,1
2015,1,3,East,5,71,Northern Iowa,Wyoming,54,12,17,1,1,5,71,59.9,4,2,8,0,-4,9,0,4,3,,,,,,-4,-2,-5,-3,7,3,1
2015,1,3,East,6,53,Providence,Dayton,66,11,-13,0,0,6,53,67.8,17,0,14,2,3,-23,-19,10,-3,,,,,,0,-3,4,7,-4,3,1
2015,1,3,East,7,70,Michigan St,Georgia,63,10,7,1,0,7,70,70.7,0,4,-4,3,4,-7,-10,-7,-1,,,,,,10,1,-3,3,4,3,1
2015,1,4,South,3,59,Iowa St,UAB,60,14,-1,0,0,3,59,69.8,-4,-3,-9,3,5,-4,-4,-10,-5,,,,,,3,4,-2,5,2,3,1
2015,1,4,South,4,84,Georgetown,Eastern Washington,74,13,10,1,0,4,84,70.2,-16,-3,-11,2,-5,17,10,0,8,,,,,,4,1,5,-3,2,3,1
2015,1,4,South,5,57,Utah,Stephen F Austin,50,12,7,1,0,5,57,60.6,-13,1,0,0,-13,8,5,-7,4,,,,,,2,6,5,-6,0,3,1
2015,1,4,South,6,59,SMU,UCLA,60,11,-1,0,0,6,59,64.1,8,3,12,-3,-4,6,2,3,-4,,,,,,2,-1,-9,-3,7,3,1
2015,1,4,South,7,83,Iowa,Davidson,52,10,31,1,0,7,83,65.3,6,14,18,0,-12,0,3,4,12,,,,,,-1,1,-1,-4,2,3,1
